FLOPs,Patch size,Tokens,Encoder parameters,Global transformer parameters,Decoder parameters,Global transformer dimension,Encoder/Decoder dimension,Global transformer layers,Decoder layers
l,6,19630906295.810684,4923520,604299264,44311680,2048,640,12,9
xl,6,39261812591.62137,4923520,604299264,44311680,2048,640,12,9
s,6,55240252633.00938,198272,44133376,1784448,512,128,14,9
m,6,110480505266.01875,198272,44133376,1784448,512,128,14,9
l,6,276201263165.0469,198272,44133376,1784448,512,128,14,9
xl,6,552402526330.0938,198272,44133376,1784448,512,128,14,9
s,6,30221034226.65099,198272,99230208,1784448,768,128,14,9
m,6,60442068453.30198,198272,99230208,1784448,768,128,14,9
l,6,151105171133.25494,198272,99230208,1784448,768,128,14,9
xl,6,302210342266.5099,198272,99230208,1784448,768,128,14,9
s,6,18663208629.17153,198272,176347136,1784448,1024,128,14,9
m,6,37326417258.34306,198272,176347136,1784448,1024,128,14,9
l,6,93316043145.85767,198272,176347136,1784448,1024,128,14,9
xl,6,186632086291.71533,198272,176347136,1784448,1024,128,14,9
s,6,12566256016.813702,198272,275484160,1784448,1280,128,14,9
m,6,25132512033.627403,198272,275484160,1784448,1280,128,14,9
l,6,62831280084.068504,198272,275484160,1784448,1280,128,14,9
xl,6,125662560168.13701,198272,275484160,1784448,1280,128,14,9
s,6,9002515518.896353,198272,396641280,1784448,1536,128,14,9
m,6,18005031037.792706,198272,396641280,1784448,1536,128,14,9
l,6,45012577594.48176,198272,396641280,1784448,1536,128,14,9
xl,6,90025155188.96352,198272,396641280,1784448,1536,128,14,9
s,6,6752789282.0289,198272,539818496,1784448,1792,128,14,9
m,6,13505578564.0578,198272,539818496,1784448,1792,128,14,9
l,6,33763946410.144497,198272,539818496,1784448,1792,128,14,9
xl,6,67527892820.288994,198272,539818496,1784448,1792,128,14,9
s,6,5246620842.688971,198272,705015808,1784448,2048,128,14,9
m,6,10493241685.377941,198272,705015808,1784448,2048,128,14,9
l,6,26233104213.444855,198272,705015808,1784448,2048,128,14,9
xl,6,52466208426.88971,198272,705015808,1784448,2048,128,14,9
s,6,22250544693.33409,789760,99230208,7107840,768,256,14,9
m,6,44501089386.66818,789760,99230208,7107840,768,256,14,9
l,6,111252723466.67047,789760,99230208,7107840,768,256,14,9
xl,6,222505446933.34094,789760,99230208,7107840,768,256,14,9
s,6,15282449009.550116,789760,176347136,7107840,1024,256,14,9
m,6,30564898019.10023,789760,176347136,7107840,1024,256,14,9
l,6,76412245047.75058,789760,176347136,7107840,1024,256,14,9
xl,6,152824490095.50116,789760,176347136,7107840,1024,256,14,9
s,6,10937163874.465694,789760,275484160,7107840,1280,256,14,9
m,6,21874327748.93139,789760,275484160,7107840,1280,256,14,9
l,6,54685819372.32847,789760,275484160,7107840,1280,256,14,9
xl,6,109371638744.65694,789760,275484160,7107840,1280,256,14,9
s,6,8134495885.116449,789760,396641280,7107840,1536,256,14,9
m,6,16268991770.232899,789760,396641280,7107840,1536,256,14,9
l,6,40672479425.582245,789760,396641280,7107840,1536,256,14,9
xl,6,81344958851.16449,789760,396641280,7107840,1536,256,14,9
s,6,6252339210.138033,789760,539818496,7107840,1792,256,14,9
m,6,12504678420.276066,789760,539818496,7107840,1792,256,14,9
l,6,31261696050.690166,789760,539818496,7107840,1792,256,14,9
xl,6,62523392101.38033,789760,539818496,7107840,1792,256,14,9
s,6,4939441136.539819,789760,705015808,7107840,2048,256,14,9
m,6,9878882273.079638,789760,705015808,7107840,2048,256,14,9
l,6,24697205682.699097,789760,705015808,7107840,2048,256,14,9
xl,6,49394411365.39819,789760,705015808,7107840,2048,256,14,9
s,6,9050304058.427172,1774464,275484160,15970176,1280,384,14,9
m,6,18100608116.854343,1774464,275484160,15970176,1280,384,14,9
l,6,45251520292.13586,1774464,275484160,15970176,1280,384,14,9
xl,6,90503040584.27171,1774464,275484160,15970176,1280,384,14,9
s,6,7042482054.628927,1774464,396641280,15970176,1536,384,14,9
m,6,14084964109.257854,1774464,396641280,15970176,1536,384,14,9
l,6,35212410273.14464,1774464,396641280,15970176,1536,384,14,9
xl,6,70424820546.28928,1774464,396641280,15970176,1536,384,14,9
s,6,5586520938.925373,1774464,539818496,15970176,1792,384,14,9
m,6,11173041877.850746,1774464,539818496,15970176,1792,384,14,9
l,6,27932604694.626865,1774464,539818496,15970176,1792,384,14,9
xl,6,55865209389.25373,1774464,539818496,15970176,1792,384,14,9
s,6,4514383332.601496,1774464,705015808,15970176,2048,384,14,9
m,6,9028766665.202991,1774464,705015808,15970176,2048,384,14,9
l,6,22571916663.007477,1774464,705015808,15970176,2048,384,14,9
xl,6,45143833326.01495,1774464,705015808,15970176,2048,384,14,9
s,6,5942953729.778744,3152384,396641280,28371456,1536,512,14,9
m,6,11885907459.557487,3152384,396641280,28371456,1536,512,14,9
l,6,29714768648.893715,3152384,396641280,28371456,1536,512,14,9
xl,6,59429537297.78743,3152384,396641280,28371456,1536,512,14,9
s,6,4871552111.267263,3152384,539818496,28371456,1792,512,14,9
m,6,9743104222.534527,3152384,539818496,28371456,1792,512,14,9
l,6,24357760556.33632,3152384,539818496,28371456,1792,512,14,9
xl,6,48715521112.67264,3152384,539818496,28371456,1792,512,14,9
s,6,4035751898.7418146,3152384,705015808,28371456,2048,512,14,9
m,6,8071503797.483629,3152384,705015808,28371456,2048,512,14,9
l,6,20178759493.709072,3152384,705015808,28371456,2048,512,14,9
xl,6,40357518987.418144,3152384,705015808,28371456,2048,512,14,9
s,6,4188421140.64629,4923520,539818496,44311680,1792,640,14,9
m,6,8376842281.29258,4923520,539818496,44311680,1792,640,14,9
l,6,20942105703.23145,4923520,539818496,44311680,1792,640,14,9
xl,6,41884211406.4629,4923520,539818496,44311680,1792,640,14,9
m,6,7110722638.111946,4923520,705015808,44311680,2048,640,14,9
l,6,17776806595.279865,4923520,705015808,44311680,2048,640,14,9
xl,6,35553613190.55973,4923520,705015808,44311680,2048,640,14,9
s,6,49936613895.4633,198272,50438144,1784448,512,128,16,9
m,6,99873227790.9266,198272,50438144,1784448,512,128,16,9
l,6,249683069477.31653,198272,50438144,1784448,512,128,16,9
xl,6,499366138954.63306,198272,50438144,1784448,512,128,16,9
s,6,26915616742.288784,198272,113405952,1784448,768,128,16,9
m,6,53831233484.57757,198272,113405952,1784448,768,128,16,9
l,6,134578083711.44392,198272,113405952,1784448,768,128,16,9
xl,6,269156167422.88785,198272,113405952,1784448,768,128,16,9
s,6,16509176483.356625,198272,201539584,1784448,1024,128,16,9
m,6,33018352966.71325,198272,201539584,1784448,1024,128,16,9
l,6,82545882416.78313,198272,201539584,1784448,1024,128,16,9
xl,6,165091764833.56625,198272,201539584,1784448,1024,128,16,9
s,6,11076276145.714256,198272,314839040,1784448,1280,128,16,9
m,6,22152552291.428513,198272,314839040,1784448,1280,128,16,9
l,6,55381380728.57127,198272,314839040,1784448,1280,128,16,9
xl,6,110762761457.14255,198272,314839040,1784448,1280,128,16,9
s,6,7918585287.091161,198272,453304320,1784448,1536,128,16,9
m,6,15837170574.182322,198272,453304320,1784448,1536,128,16,9
l,6,39592926435.4558,198272,453304320,1784448,1536,128,16,9
xl,6,79185852870.9116,198272,453304320,1784448,1536,128,16,9
s,6,5931944934.235663,198272,616935424,1784448,1792,128,16,9
m,6,11863889868.471327,198272,616935424,1784448,1792,128,16,9
l,6,29659724671.178314,198272,616935424,1784448,1792,128,16,9
xl,6,59319449342.35663,198272,616935424,1784448,1792,128,16,9
s,6,4604818640.285595,198272,805732352,1784448,2048,128,16,9
m,6,9209637280.57119,198272,805732352,1784448,2048,128,16,9
l,6,23024093201.427975,198272,805732352,1784448,2048,128,16,9
xl,6,46048186402.85595,198272,805732352,1784448,2048,128,16,9
s,6,20405524706.02985,789760,113405952,7107840,768,256,16,9
m,6,40811049412.0597,789760,113405952,7107840,768,256,16,9
l,6,102027623530.14925,789760,113405952,7107840,768,256,16,9
xl,6,204055247060.2985,789760,113405952,7107840,768,256,16,9
s,6,13807280716.504255,789760,201539584,7107840,1024,256,16,9
m,6,27614561433.00851,789760,201539584,7107840,1024,256,16,9
l,6,69036403582.52129,789760,201539584,7107840,1024,256,16,9
xl,6,138072807165.04257,789760,201539584,7107840,1024,256,16,9
s,6,9790844587.834734,789760,314839040,7107840,1280,256,16,9
m,6,19581689175.669468,789760,314839040,7107840,1280,256,16,9
l,6,48954222939.173676,789760,314839040,7107840,1280,256,16,9
xl,6,97908445878.34735,789760,314839040,7107840,1280,256,16,9
s,6,7239118388.889609,789760,453304320,7107840,1536,256,16,9
m,6,14478236777.779219,789760,453304320,7107840,1536,256,16,9
l,6,36195591944.44805,789760,453304320,7107840,1536,256,16,9
xl,6,72391183888.8961,789760,453304320,7107840,1536,256,16,9
s,6,5542255458.740251,789760,616935424,7107840,1792,256,16,9
m,6,11084510917.480501,789760,616935424,7107840,1792,256,16,9
l,6,27711277293.701252,789760,616935424,7107840,1792,256,16,9
xl,6,55422554587.402504,789760,616935424,7107840,1792,256,16,9
s,6,4366488027.255483,789760,805732352,7107840,2048,256,16,9
m,6,8732976054.510965,789760,805732352,7107840,2048,256,16,9
l,6,21832440136.277416,789760,805732352,7107840,2048,256,16,9
xl,6,43664880272.55483,789760,805732352,7107840,2048,256,16,9
s,6,10930430935.928669,1774464,201539584,15970176,1024,384,16,9
m,6,21860861871.857338,1774464,201539584,15970176,1024,384,16,9
l,6,54652154679.64335,1774464,201539584,15970176,1024,384,16,9
xl,6,109304309359.2867,1774464,201539584,15970176,1024,384,16,9
s,6,8250935460.895073,1774464,314839040,15970176,1280,384,16,9
m,6,16501870921.790146,1774464,314839040,15970176,1280,384,16,9
l,6,41254677304.475365,1774464,314839040,15970176,1280,384,16,9
xl,6,82509354608.95073,1774464,314839040,15970176,1280,384,16,9
s,6,6361302436.470436,1774464,453304320,15970176,1536,384,16,9
m,6,12722604872.940872,1774464,453304320,15970176,1536,384,16,9
l,6,31806512182.35218,1774464,453304320,15970176,1536,384,16,9
xl,6,63613024364.70436,1774464,453304320,15970176,1536,384,16,9
s,6,5012679541.571157,1774464,616935424,15970176,1792,384,16,9
m,6,10025359083.142315,1774464,616935424,15970176,1792,384,16,9
l,6,25063397707.855785,1774464,616935424,15970176,1792,384,16,9
xl,6,50126795415.71157,1774464,616935424,15970176,1792,384,16,9
s,6,4030971621.7768774,1774464,805732352,15970176,2048,384,16,9
m,6,8061943243.553755,1774464,805732352,15970176,2048,384,16,9
l,6,20154858108.884388,1774464,805732352,15970176,2048,384,16,9
xl,6,40309716217.768776,1774464,805732352,15970176,2048,384,16,9
s,6,5450434360.375395,3152384,453304320,28371456,1536,512,16,9
m,6,10900868720.75079,3152384,453304320,28371456,1536,512,16,9
l,6,27252171801.876972,3152384,453304320,28371456,1536,512,16,9
xl,6,54504343603.753944,3152384,453304320,28371456,1536,512,16,9
s,6,4429380510.130668,3152384,616935424,28371456,1792,512,16,9
m,6,8858761020.261335,3152384,616935424,28371456,1792,512,16,9
l,6,22146902550.65334,3152384,616935424,28371456,1792,512,16,9
xl,6,44293805101.30668,3152384,616935424,28371456,1792,512,16,9
m,6,7289951423.203662,3152384,805732352,28371456,2048,512,16,9
l,6,18224878558.009155,3152384,805732352,28371456,2048,512,16,9
xl,6,36449757116.01831,3152384,805732352,28371456,2048,512,16,9
m,6,7714702010.902751,4923520,616935424,44311680,1792,640,16,9
l,6,19286755027.256878,4923520,616935424,44311680,1792,640,16,9
xl,6,38573510054.513756,4923520,616935424,44311680,1792,640,16,9
l,6,16242714776.454094,4923520,805732352,44311680,2048,640,16,9
xl,6,32485429552.908188,4923520,805732352,44311680,2048,640,16,9
l,6,14346406198.652588,7087872,805732352,63790848,2048,768,16,9
xl,6,28692812397.305176,7087872,805732352,63790848,2048,768,16,9
s,6,45562171587.867195,198272,56742912,1784448,512,128,18,9
m,6,91124343175.73439,198272,56742912,1784448,512,128,18,9
l,6,227810857939.33597,198272,56742912,1784448,512,128,18,9
xl,6,455621715878.67194,198272,56742912,1784448,512,128,18,9
s,6,24261970273.84583,198272,127581696,1784448,768,128,18,9
m,6,48523940547.69166,198272,127581696,1784448,768,128,18,9
l,6,121309851369.22914,198272,127581696,1784448,768,128,18,9
xl,6,242619702738.45828,198272,127581696,1784448,768,128,18,9
s,6,14800914672.845318,198272,226732032,1784448,1024,128,18,9
m,6,29601829345.690636,198272,226732032,1784448,1024,128,18,9
l,6,74004573364.2266,198272,226732032,1784448,1024,128,18,9
xl,6,148009146728.4532,198272,226732032,1784448,1024,128,18,9
s,6,9902176007.138437,198272,354193920,1784448,1280,128,18,9
m,6,19804352014.276875,198272,354193920,1784448,1280,128,18,9
l,6,49510880035.692184,198272,354193920,1784448,1280,128,18,9
xl,6,99021760071.38437,198272,354193920,1784448,1280,128,18,9
s,6,7067622103.631921,198272,509967360,1784448,1536,128,18,9
m,6,14135244207.263842,198272,509967360,1784448,1536,128,18,9
l,6,35338110518.15961,198272,509967360,1784448,1536,128,18,9
xl,6,70676221036.31921,198272,509967360,1784448,1536,128,18,9
s,6,5289029824.373745,198272,694052352,1784448,1792,128,18,9
m,6,10578059648.74749,198272,694052352,1784448,1792,128,18,9
l,6,26445149121.868725,198272,694052352,1784448,1792,128,18,9
xl,6,52890298243.73745,198272,694052352,1784448,1792,128,18,9
s,6,4102921490.170582,198272,906448896,1784448,2048,128,18,9
m,6,8205842980.341164,198272,906448896,1784448,2048,128,18,9
l,6,20514607450.85291,198272,906448896,1784448,2048,128,18,9
xl,6,41029214901.70582,198272,906448896,1784448,2048,128,18,9
s,6,18843054540.54302,789760,127581696,7107840,768,256,18,9
m,6,37686109081.08604,789760,127581696,7107840,768,256,18,9
l,6,94215272702.71509,789760,127581696,7107840,768,256,18,9
xl,6,188430545405.43018,789760,127581696,7107840,768,256,18,9
s,6,12591829695.604101,789760,226732032,7107840,1024,256,18,9
m,6,25183659391.208202,789760,226732032,7107840,1024,256,18,9
l,6,62959148478.02051,789760,226732032,7107840,1024,256,18,9
xl,6,125918296956.04102,789760,226732032,7107840,1024,256,18,9
s,6,8862020188.958122,789760,354193920,7107840,1280,256,18,9
m,6,17724040377.916245,789760,354193920,7107840,1280,256,18,9
l,6,44310100944.7906,789760,354193920,7107840,1280,256,18,9
xl,6,88620201889.5812,789760,354193920,7107840,1280,256,18,9
s,6,6521307249.773788,789760,509967360,7107840,1536,256,18,9
m,6,13042614499.547577,789760,509967360,7107840,1536,256,18,9
l,6,32606536248.868946,789760,509967360,7107840,1536,256,18,9
xl,6,65213072497.73789,789760,509967360,7107840,1536,256,18,9
s,6,4977011779.830377,789760,694052352,7107840,1792,256,18,9
m,6,9954023559.660753,789760,694052352,7107840,1792,256,18,9
l,6,24885058899.151886,789760,694052352,7107840,1792,256,18,9
xl,6,49770117798.30377,789760,694052352,7107840,1792,256,18,9
m,6,7825278680.0845785,789760,906448896,7107840,2048,256,18,9
l,6,19563196700.211445,789760,906448896,7107840,2048,256,18,9
xl,6,39126393400.42289,789760,906448896,7107840,2048,256,18,9
s,6,10154478043.581394,1774464,226732032,15970176,1024,384,18,9
m,6,20308956087.16279,1774464,226732032,15970176,1024,384,18,9
l,6,50772390217.906975,1774464,226732032,15970176,1024,384,18,9
xl,6,101544780435.81395,1774464,226732032,15970176,1024,384,18,9
s,6,7581315369.133638,1774464,354193920,15970176,1280,384,18,9
m,6,15162630738.267277,1774464,354193920,15970176,1280,384,18,9
l,6,37906576845.6682,1774464,354193920,15970176,1280,384,18,9
xl,6,75813153691.3364,1774464,354193920,15970176,1280,384,18,9
s,6,5800274552.515779,1774464,509967360,15970176,1536,384,18,9
m,6,11600549105.031557,1774464,509967360,15970176,1536,384,18,9
l,6,29001372762.57889,1774464,509967360,15970176,1536,384,18,9
xl,6,58002745525.15778,1774464,509967360,15970176,1536,384,18,9
s,6,4545745473.164828,1774464,694052352,15970176,1792,384,18,9
m,6,9091490946.329657,1774464,694052352,15970176,1792,384,18,9
l,6,22728727365.82414,1774464,694052352,15970176,1792,384,18,9
xl,6,45457454731.64828,1774464,694052352,15970176,1792,384,18,9
m,6,7282151807.11549,1774464,906448896,15970176,2048,384,18,9
l,6,18205379517.788723,1774464,906448896,15970176,2048,384,18,9
xl,6,36410759035.577446,1774464,906448896,15970176,2048,384,18,9
s,6,6322138124.859901,3152384,354193920,28371456,1280,512,18,9
m,6,12644276249.719803,3152384,354193920,28371456,1280,512,18,9
l,6,31610690624.299507,3152384,354193920,28371456,1280,512,18,9
xl,6,63221381248.599014,3152384,354193920,28371456,1280,512,18,9
s,6,5033301936.266962,3152384,509967360,28371456,1536,512,18,9
m,6,10066603872.533924,3152384,509967360,28371456,1536,512,18,9
l,6,25166509681.33481,3152384,509967360,28371456,1536,512,18,9
xl,6,50333019362.66962,3152384,509967360,28371456,1536,512,18,9
s,6,4060797875.9623117,3152384,694052352,28371456,1792,512,18,9
m,6,8121595751.9246235,3152384,694052352,28371456,1792,512,18,9
l,6,20303989379.811558,3152384,694052352,28371456,1792,512,18,9
xl,6,40607978759.623116,3152384,694052352,28371456,1792,512,18,9
l,6,16615976859.925985,3152384,906448896,28371456,2048,512,18,9
xl,6,33231953719.85197,3152384,906448896,28371456,2048,512,18,9
s,6,4307433596.603675,4923520,509967360,44311680,1536,640,18,9
m,6,8614867193.20735,4923520,509967360,44311680,1536,640,18,9
l,6,21537167983.018375,4923520,509967360,44311680,1536,640,18,9
xl,6,43074335966.03675,4923520,509967360,44311680,1536,640,18,9
m,6,7149570385.175383,4923520,694052352,44311680,1792,640,18,9
l,6,17873925962.938457,4923520,694052352,44311680,1792,640,18,9
xl,6,35747851925.876915,4923520,694052352,44311680,1792,640,18,9
l,6,14952364875.598238,4923520,906448896,44311680,2048,640,18,9
xl,6,29904729751.196476,4923520,906448896,44311680,2048,640,18,9
l,6,13330337100.124012,7087872,906448896,63790848,2048,768,18,9
xl,6,26660674200.248024,7087872,906448896,63790848,2048,768,18,9
s,6,41892401691.28423,198272,63047680,1784448,512,128,20,9
m,6,83784803382.56847,198272,63047680,1784448,512,128,20,9
l,6,209462008456.42114,198272,63047680,1784448,512,128,20,9
xl,6,418924016912.8423,198272,63047680,1784448,512,128,20,9
s,6,22084618363.66052,198272,141757440,1784448,768,128,20,9
m,6,44169236727.32104,198272,141757440,1784448,768,128,20,9
l,6,110423091818.3026,198272,141757440,1784448,768,128,20,9
xl,6,220846183636.6052,198272,141757440,1784448,768,128,20,9
s,6,13413022671.856176,198272,251924480,1784448,1024,128,20,9
m,6,26826045343.712353,198272,251924480,1784448,1024,128,20,9
l,6,67065113359.28088,198272,251924480,1784448,1024,128,20,9
xl,6,134130226718.56177,198272,251924480,1784448,1024,128,20,9
s,6,8953132008.029108,198272,393548800,1784448,1280,128,20,9
m,6,17906264016.058216,198272,393548800,1784448,1280,128,20,9
l,6,44765660040.14554,198272,393548800,1784448,1280,128,20,9
xl,6,89531320080.29108,198272,393548800,1784448,1280,128,20,9
s,6,6381807295.151134,198272,566630400,1784448,1536,128,20,9
m,6,12763614590.302267,198272,566630400,1784448,1536,128,20,9
l,6,31909036475.75567,198272,566630400,1784448,1536,128,20,9
xl,6,63818072951.51134,198272,566630400,1784448,1536,128,20,9
s,6,4771848143.07869,198272,771169280,1784448,1792,128,20,9
m,6,9543696286.15738,198272,771169280,1784448,1792,128,20,9
l,6,23859240715.393444,198272,771169280,1784448,1792,128,20,9
xl,6,47718481430.78689,198272,771169280,1784448,1792,128,20,9
m,6,7399358077.384242,198272,1007165440,1784448,2048,128,20,9
l,6,18498395193.460606,198272,1007165440,1784448,2048,128,20,9
xl,6,36996790386.92121,198272,1007165440,1784448,2048,128,20,9
s,6,17502845262.52588,789760,141757440,7107840,768,256,20,9
m,6,35005690525.05176,789760,141757440,7107840,768,256,20,9
l,6,87514226312.6294,789760,141757440,7107840,768,256,20,9
xl,6,175028452625.2588,789760,141757440,7107840,768,256,20,9
s,6,11573056793.675327,789760,251924480,7107840,1024,256,20,9
m,6,23146113587.350655,789760,251924480,7107840,1024,256,20,9
l,6,57865283968.37664,789760,251924480,7107840,1024,256,20,9
xl,6,115730567936.75328,789760,251924480,7107840,1024,256,20,9
s,6,8094155015.391895,789760,393548800,7107840,1280,256,20,9
m,6,16188310030.78379,789760,393548800,7107840,1280,256,20,9
l,6,40470775076.95948,789760,393548800,7107840,1280,256,20,9
xl,6,80941550153.91896,789760,393548800,7107840,1280,256,20,9
s,6,5933006578.137981,789760,566630400,7107840,1536,256,20,9
m,6,11866013156.275963,789760,566630400,7107840,1536,256,20,9
l,6,29665032890.689907,789760,566630400,7107840,1536,256,20,9
xl,6,59330065781.379814,789760,566630400,7107840,1536,256,20,9
s,6,4516393715.147515,789760,771169280,7107840,1792,256,20,9
m,6,9032787430.29503,789760,771169280,7107840,1792,256,20,9
l,6,22581968575.737576,789760,771169280,7107840,1792,256,20,9
xl,6,45163937151.47515,789760,771169280,7107840,1792,256,20,9
m,6,7088505991.522032,789760,1007165440,7107840,2048,256,20,9
l,6,17721264978.80508,789760,1007165440,7107840,2048,256,20,9
xl,6,35442529957.61016,789760,1007165440,7107840,2048,256,20,9
s,6,9481392606.418814,1774464,251924480,15970176,1024,384,20,9
m,6,18962785212.837627,1774464,251924480,15970176,1024,384,20,9
l,6,47406963032.09407,1774464,251924480,15970176,1024,384,20,9
xl,6,94813926064.18814,1774464,251924480,15970176,1024,384,20,9
s,6,7012225136.091994,1774464,393548800,15970176,1280,384,20,9
m,6,14024450272.183989,1774464,393548800,15970176,1280,384,20,9
l,6,35061125680.45997,1774464,393548800,15970176,1280,384,20,9
xl,6,70122251360.91994,1774464,393548800,15970176,1280,384,20,9
s,6,5330184913.922204,1774464,566630400,15970176,1536,384,20,9
m,6,10660369827.844408,1774464,566630400,15970176,1536,384,20,9
l,6,26650924569.61102,1774464,566630400,15970176,1536,384,20,9
xl,6,53301849139.22204,1774464,566630400,15970176,1536,384,20,9
s,6,4158389070.513491,1774464,771169280,15970176,1792,384,20,9
m,6,8316778141.026982,1774464,771169280,15970176,1792,384,20,9
l,6,20791945352.567455,1774464,771169280,15970176,1792,384,20,9
xl,6,41583890705.13491,1774464,771169280,15970176,1792,384,20,9
l,6,16599767101.44962,1774464,1007165440,15970176,2048,384,20,9
xl,6,33199534202.89924,1774464,1007165440,15970176,2048,384,20,9
s,6,5921392709.4335575,3152384,393548800,28371456,1280,512,20,9
m,6,11842785418.867115,3152384,393548800,28371456,1280,512,20,9
l,6,29606963547.167786,3152384,393548800,28371456,1280,512,20,9
xl,6,59213927094.33557,3152384,393548800,28371456,1280,512,20,9
s,6,4675478409.912432,3152384,566630400,28371456,1536,512,20,9
m,6,9350956819.824863,3152384,566630400,28371456,1536,512,20,9
l,6,23377392049.56216,3152384,566630400,28371456,1536,512,20,9
xl,6,46754784099.12432,3152384,566630400,28371456,1536,512,20,9
m,6,7497689513.171135,3152384,771169280,28371456,1792,512,20,9
l,6,18744223782.927837,3152384,771169280,28371456,1792,512,20,9
xl,6,37488447565.855675,3152384,771169280,28371456,1792,512,20,9
l,6,15268101017.57641,3152384,1007165440,28371456,2048,512,20,9
xl,6,30536202035.15282,3152384,1007165440,28371456,2048,512,20,9
s,6,4042659436.0199013,4923520,566630400,44311680,1536,640,20,9
m,6,8085318872.039803,4923520,566630400,44311680,1536,640,20,9
l,6,20213297180.099506,4923520,566630400,44311680,1536,640,20,9
xl,6,40426594360.19901,4923520,566630400,44311680,1536,640,20,9
m,6,6661583731.16981,4923520,771169280,44311680,1792,640,20,9
l,6,16653959327.924524,4923520,771169280,44311680,1792,640,20,9
xl,6,33307918655.84905,4923520,771169280,44311680,1792,640,20,9
l,6,13851942171.080818,4923520,1007165440,44311680,2048,640,20,9
xl,6,27703884342.161636,4923520,1007165440,44311680,2048,640,20,9
l,6,14666286372.305414,7087872,771169280,63790848,1792,768,20,9
xl,6,29332572744.61083,7087872,771169280,63790848,1792,768,20,9
xl,6,24897345924.189228,7087872,1007165440,63790848,2048,768,20,9
xl,6,22244604186.83992,9645440,1007165440,86808960,2048,896,20,9
s,6,38769724030.465034,198272,69352448,1784448,512,128,22,9
m,6,77539448060.93007,198272,69352448,1784448,512,128,22,9
l,6,193848620152.32516,198272,69352448,1784448,512,128,22,9
xl,6,387697240304.6503,198272,69352448,1784448,512,128,22,9
s,6,20265888456.549934,198272,155933184,1784448,768,128,22,9
m,6,40531776913.09987,198272,155933184,1784448,768,128,22,9
l,6,101329442282.74968,198272,155933184,1784448,768,128,22,9
xl,6,202658884565.49936,198272,155933184,1784448,768,128,22,9
s,6,12263103023.643719,198272,277116928,1784448,1024,128,22,9
m,6,24526206047.287437,198272,277116928,1784448,1024,128,22,9
l,6,61315515118.2186,198272,277116928,1784448,1024,128,22,9
xl,6,122631030236.4372,198272,277116928,1784448,1024,128,22,9
s,6,8170094129.237419,198272,432903680,1784448,1280,128,22,9
m,6,16340188258.474838,198272,432903680,1784448,1280,128,22,9
l,6,40850470646.187096,198272,432903680,1784448,1280,128,22,9
xl,6,81700941292.37419,198272,432903680,1784448,1280,128,22,9
s,6,5817317250.607421,198272,623293440,1784448,1536,128,22,9
m,6,11634634501.214842,198272,623293440,1784448,1536,128,22,9
l,6,29086586253.037106,198272,623293440,1784448,1536,128,22,9
xl,6,58173172506.07421,198272,623293440,1784448,1536,128,22,9
s,6,4346801201.004219,198272,848286208,1784448,1792,128,22,9
m,6,8693602402.008438,198272,848286208,1784448,1792,128,22,9
l,6,21734006005.021095,198272,848286208,1784448,1792,128,22,9
xl,6,43468012010.04219,198272,848286208,1784448,1792,128,22,9
m,6,6737212771.107858,198272,1107881984,1784448,2048,128,22,9
l,6,16843031927.769644,198272,1107881984,1784448,2048,128,22,9
xl,6,33686063855.539288,198272,1107881984,1784448,2048,128,22,9
s,6,16340621163.222149,789760,155933184,7107840,768,256,22,9
m,6,32681242326.444298,789760,155933184,7107840,768,256,22,9
l,6,81703105816.11075,789760,155933184,7107840,768,256,22,9
xl,6,163406211632.2215,789760,155933184,7107840,768,256,22,9
s,6,10706797084.056278,789760,277116928,7107840,1024,256,22,9
m,6,21413594168.112556,789760,277116928,7107840,1024,256,22,9
l,6,53533985420.28139,789760,277116928,7107840,1024,256,22,9
xl,6,107067970840.56277,789760,277116928,7107840,1024,256,22,9
s,6,7448745482.611701,789760,432903680,7107840,1280,256,22,9
m,6,14897490965.223402,789760,432903680,7107840,1280,256,22,9
l,6,37243727413.0585,789760,432903680,7107840,1280,256,22,9
xl,6,74487454826.117,789760,432903680,7107840,1280,256,22,9
s,6,5442066459.73463,789760,623293440,7107840,1536,256,22,9
m,6,10884132919.46926,789760,623293440,7107840,1536,256,22,9
l,6,27210332298.673145,789760,623293440,7107840,1536,256,22,9
xl,6,54420664597.34629,789760,623293440,7107840,1536,256,22,9
s,6,4133812959.9465675,789760,848286208,7107840,1792,256,22,9
m,6,8267625919.893135,789760,848286208,7107840,1792,256,22,9
l,6,20669064799.732838,789760,848286208,7107840,1792,256,22,9
xl,6,41338129599.465675,789760,848286208,7107840,1792,256,22,9
l,6,16196333214.540653,789760,1107881984,7107840,2048,256,22,9
xl,6,32392666429.081306,789760,1107881984,7107840,2048,256,22,9
s,6,8891990632.581305,1774464,277116928,15970176,1024,384,22,9
m,6,17783981265.16261,1774464,277116928,15970176,1024,384,22,9
l,6,44459953162.906525,1774464,277116928,15970176,1024,384,22,9
xl,6,88919906325.81305,1774464,277116928,15970176,1024,384,22,9
s,6,6522606695.616066,1774464,432903680,15970176,1280,384,22,9
m,6,13045213391.232132,1774464,432903680,15970176,1280,384,22,9
l,6,32613033478.08033,1774464,432903680,15970176,1280,384,22,9
xl,6,65226066956.16066,1774464,432903680,15970176,1280,384,22,9
s,6,4930580580.991217,1774464,623293440,15970176,1536,384,22,9
m,6,9861161161.982433,1774464,623293440,15970176,1536,384,22,9
